,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem,added_util
1050,PointNet,ShapeNet,1,64,0,0.971,TD3,BipedalWalker,1,128,0,1,24.841,9.058,8402,24.154
1048,PointNet,ShapeNet,1,64,0,0.976,TD3,BipedalWalker,1,64,0,1,24.172,9.5,8402,24.555
1167,PPO,LunarLander,1,32,0,1,PPO,LunarLander,1,64,0,1,23.123,0.014,4074,24.6035
566,PPO,LunarLander,1,64,0,1,TD3,BipedalWalker,1,32,0,1,19.961,0.026,4082,24.6175
1056,PointNet,ShapeNet,1,128,0,0.945,TD3,BipedalWalker,1,128,0,1,22.283,9.533,12530,24.827
1166,PPO,LunarLander,1,32,0,1,PPO,LunarLander,1,32,0,1,25.368,0.015,4074,25.175
563,PPO,LunarLander,1,32,0,1,TD3,BipedalWalker,1,32,0,1,25.302,0.151,4082,25.189
572,TD3,BipedalWalker,1,32,0,1,TD3,BipedalWalker,1,32,0,1,27.653,0.667,4090,25.203
1054,PointNet,ShapeNet,1,128,0,0.943,TD3,BipedalWalker,1,64,0,1,22.658,6.197,12530,25.228
367,PointNet,ShapeNet,1,64,0,0.995,PPO,LunarLander,1,128,0,1,25,9.043,8394,25.3
568,PPO,LunarLander,1,64,0,1,TD3,BipedalWalker,1,128,0,1,22.889,0,4082,25.7795
373,PointNet,ShapeNet,1,128,0,0.956,PPO,LunarLander,1,128,0,1,23.623,9.393,12522,25.973
567,PPO,LunarLander,1,64,0,1,TD3,BipedalWalker,1,64,0,1,22.758,0.032,4082,26.1805
565,PPO,LunarLander,1,32,0,1,TD3,BipedalWalker,1,128,0,1,22.042,0.042,4082,26.351
574,TD3,BipedalWalker,1,32,0,1,TD3,BipedalWalker,1,128,0,1,20.275,0.562,4090,26.365
564,PPO,LunarLander,1,32,0,1,TD3,BipedalWalker,1,64,0,1,22.691,0.036,4082,26.752
573,TD3,BipedalWalker,1,32,0,1,TD3,BipedalWalker,1,64,0,1,21.554,0.635,4090,26.766
1170,PPO,LunarLander,1,64,0,1,PPO,LunarLander,1,128,0,1,24.636,0.026,4074,26.9255
661,EfficientNet,CIFAR-10,1,32,1,1.146,PointNet,ShapeNet,1,128,1,0.938,27.167,6.567,9172,27.304
653,EfficientNet,CIFAR-10,1,32,1,1.084,PointNet,ShapeNet,1,32,1,0.918,30.644,8.082,5530,27.445
1168,PPO,LunarLander,1,32,0,1,PPO,LunarLander,1,128,0,1,25.797,0.025,4074,27.497
569,PPO,LunarLander,1,128,0,1,TD3,BipedalWalker,1,32,0,1,23.2,0.033,4082,27.511
577,TD3,BipedalWalker,1,128,0,1,TD3,BipedalWalker,1,128,0,1,23.721,0.754,4090,27.527
576,TD3,BipedalWalker,1,64,0,1,TD3,BipedalWalker,1,128,0,1,25.633,0.857,4090,27.928
657,EfficientNet,CIFAR-10,1,32,1,1.096,PointNet,ShapeNet,1,64,1,0.96,27.657,7.3,6730,27.978
575,TD3,BipedalWalker,1,64,0,1,TD3,BipedalWalker,1,64,0,1,23.439,0.712,4090,28.329
571,PPO,LunarLander,1,128,0,1,TD3,BipedalWalker,1,128,0,1,26.479,0.562,4082,28.673
570,PPO,LunarLander,1,128,0,1,TD3,BipedalWalker,1,64,0,1,25.945,0.205,4082,29.074
1171,PPO,LunarLander,1,128,0,1,PPO,LunarLander,1,128,0,1,25.867,0.013,4074,29.819
652,EfficientNet,CIFAR-10,1,32,1,1.114,PointNet,ShapeNet,1,32,0,0.989,37.054,11.122,6166,30.1225
659,EfficientNet,CIFAR-10,1,32,0,1.055,PointNet,ShapeNet,1,128,1,0.88,29.103,8.19,9306,31.3165
651,EfficientNet,CIFAR-10,1,32,0,1.097,PointNet,ShapeNet,1,32,1,0.933,31.853,7.707,5664,31.4575
656,EfficientNet,CIFAR-10,1,32,1,1.049,PointNet,ShapeNet,1,64,0,0.85,31.214,10.143,8544,31.532
655,EfficientNet,CIFAR-10,1,32,0,1.107,PointNet,ShapeNet,1,64,1,0.934,33.13,9.159,6862,31.9905
660,EfficientNet,CIFAR-10,1,32,1,1.029,PointNet,ShapeNet,1,128,0,0.933,31.593,11.627,12670,32.205
673,EfficientNet,CIFAR-10,1,64,1,1.155,PointNet,ShapeNet,1,128,1,0.893,33,8.965,9288,32.3855
665,EfficientNet,CIFAR-10,1,64,1,1.093,PointNet,ShapeNet,1,32,1,0.987,34.973,9.432,5646,32.5265
669,EfficientNet,CIFAR-10,1,64,1,1.108,PointNet,ShapeNet,1,64,1,0.951,32.757,8.929,6844,33.0595
466,EfficientNet,CIFAR-10,1,32,1,0.968,PPO,LunarLander,1,64,0,1,29.013,1.026,4224,33.1575
464,EfficientNet,CIFAR-10,1,32,1,0.938,PPO,LunarLander,1,32,0,1,26.641,0.91,4224,33.729
1335,EfficientNet,CIFAR-10,1,32,1,0.972,TD3,BipedalWalker,1,32,0,1,29.322,1.661,4230,33.743
