Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
2,MobileNetV3,ImageNet,2,32,1,1255.211,DCGAN,LSUN,2,32,0,1537.725,25.653,4.723,4936
3,MobileNetV3,ImageNet,2,32,1,1249.385,DCGAN,LSUN,2,32,1,1498.364,22.921,4.455,4980
4,MobileNetV3,ImageNet,2,32,0,1304.716,DCGAN,LSUN,2,64,0,3311.39,33.455,9.198,4654
5,MobileNetV3,ImageNet,2,32,0,1329.942,DCGAN,LSUN,2,64,1,3179.421,24.848,5.838,5100
6,MobileNetV3,ImageNet,2,32,1,1192.127,DCGAN,LSUN,2,64,0,3316.747,33.641,8.117,4554
7,MobileNetV3,ImageNet,2,32,1,1150.207,DCGAN,LSUN,2,64,1,2851.28,25.172,5.374,4996
8,MobileNetV3,ImageNet,2,32,0,1273.74,DCGAN,LSUN,2,128,0,6181.092,44.198,14.673,5442
9,MobileNetV3,ImageNet,2,32,0,1365.354,DCGAN,LSUN,2,128,1,5432.052,31.04,8.01,4882
10,MobileNetV3,ImageNet,2,32,1,1217.574,DCGAN,LSUN,2,128,0,6399.18,45.851,15.04,5344
11,MobileNetV3,ImageNet,2,32,1,1217.453,DCGAN,LSUN,2,128,1,5740.78,30.98,8.242,4772
12,MobileNetV3,ImageNet,2,64,0,2599.725,DCGAN,LSUN,2,32,0,1685.409,25.697,5.838,5454
13,MobileNetV3,ImageNet,2,64,0,2717.531,DCGAN,LSUN,2,32,1,1535.294,22.262,5.107,5388
14,MobileNetV3,ImageNet,2,64,1,2432.697,DCGAN,LSUN,2,32,0,1698.618,24.856,5.474,5160
15,MobileNetV3,ImageNet,2,64,1,2412.299,DCGAN,LSUN,2,32,1,1546.672,21.404,4.404,5140
16,MobileNetV3,ImageNet,2,64,0,2622.693,DCGAN,LSUN,2,64,0,3008.084,32.848,8.667,4986
17,MobileNetV3,ImageNet,2,64,0,2594.536,DCGAN,LSUN,2,64,1,2834.417,25.626,6.202,5434
18,MobileNetV3,ImageNet,2,64,1,2397.868,DCGAN,LSUN,2,64,0,3403.819,33.738,9.505,4710
19,MobileNetV3,ImageNet,2,64,1,2222.259,DCGAN,LSUN,2,64,1,2808.524,25.564,5.505,5152
20,MobileNetV3,ImageNet,2,64,0,2653.648,DCGAN,LSUN,2,128,0,6846.146,48.182,16.414,5774
21,MobileNetV3,ImageNet,2,64,0,2562.663,DCGAN,LSUN,2,128,1,6024.917,32.535,9.663,5226
22,MobileNetV3,ImageNet,2,64,1,2324.251,DCGAN,LSUN,2,128,0,6843.88,47.606,16.131,5506
23,MobileNetV3,ImageNet,2,64,1,2367.855,DCGAN,LSUN,2,128,1,5602.383,31.621,8.779,4926
24,MobileNetV3,ImageNet,2,128,0,5306.872,DCGAN,LSUN,2,32,0,1699.516,26.838,6.889,6010
25,MobileNetV3,ImageNet,2,128,0,5176.316,DCGAN,LSUN,2,32,1,1491.07,24.851,5.733,6108
26,MobileNetV3,ImageNet,2,128,1,4526.914,DCGAN,LSUN,2,32,0,1599.015,27.313,5.687,5398
27,MobileNetV3,ImageNet,2,128,1,4591.864,DCGAN,LSUN,2,32,1,1481.249,23.446,5.01,5448
28,MobileNetV3,ImageNet,2,128,0,5136.476,DCGAN,LSUN,2,64,0,3432.613,35.621,10.204,5612
29,MobileNetV3,ImageNet,2,128,0,5148.598,DCGAN,LSUN,2,64,1,2832.704,28.455,8.129,6064
30,MobileNetV3,ImageNet,2,128,1,,DCGAN,LSUN,2,64,0,3416.385,32.919,9.455,5140
31,MobileNetV3,ImageNet,2,128,1,,DCGAN,LSUN,2,64,1,2985.511,23.589,5.453,5494
32,MobileNetV3,ImageNet,2,128,0,5428.842,DCGAN,LSUN,2,128,0,6010.456,46.295,14.021,6400
33,MobileNetV3,ImageNet,2,128,0,5131.355,DCGAN,LSUN,2,128,1,6141.808,33.072,9.598,5828
34,MobileNetV3,ImageNet,2,128,1,4131.521,DCGAN,LSUN,2,128,0,6025.895,43.421,14.021,5768
35,MobileNetV3,ImageNet,2,128,1,4773.119,DCGAN,LSUN,2,128,1,5564.822,32.374,8.515,5258
0,PointNet,ShapeNet,2,32,0,252.531,DCGAN,LSUN,2,32,0,2090.685,31.969,9.99,5786
1,PointNet,ShapeNet,2,32,0,242.783,DCGAN,LSUN,2,32,1,1709.04,25.691,8.814,5802
2,PointNet,ShapeNet,2,32,1,268.512,DCGAN,LSUN,2,32,0,2127.209,31.958,8.863,5418
3,PointNet,ShapeNet,2,32,1,272.887,DCGAN,LSUN,2,32,1,1607.722,23.556,6.889,5426
4,PointNet,ShapeNet,2,32,0,273.618,DCGAN,LSUN,2,64,0,3469.437,37.444,13.071,5980
5,PointNet,ShapeNet,2,32,0,259.361,DCGAN,LSUN,2,64,1,3049.385,27.126,9.537,5848
6,PointNet,ShapeNet,2,32,1,256.729,DCGAN,LSUN,2,64,0,3941.074,39.34,12.577,5604
7,PointNet,ShapeNet,2,32,1,261.304,DCGAN,LSUN,2,64,1,3483.998,29.537,8.105,5472
8,PointNet,ShapeNet,2,32,0,239.265,DCGAN,LSUN,2,128,0,6924.016,50.952,19.505,6186
9,PointNet,ShapeNet,2,32,0,259.106,DCGAN,LSUN,2,128,1,6227.092,35.444,12.808,6058
10,PointNet,ShapeNet,2,32,1,240.106,DCGAN,LSUN,2,128,0,6995.263,49.579,18.2,5810
11,PointNet,ShapeNet,2,32,1,261.441,DCGAN,LSUN,2,128,1,6441.628,34.526,11.557,5236
12,PointNet,ShapeNet,2,64,0,264.254,DCGAN,LSUN,2,32,0,2074.9,31.775,10.573,6670
13,PointNet,ShapeNet,2,64,0,247.98,DCGAN,LSUN,2,32,1,1713.041,25.221,8.842,6768
14,PointNet,ShapeNet,2,64,1,258.724,DCGAN,LSUN,2,32,0,2078.843,29.473,8.312,6052
15,PointNet,ShapeNet,2,64,1,270.648,DCGAN,LSUN,2,32,1,1635.344,22.591,7.0,6136
16,PointNet,ShapeNet,2,64,0,256.203,DCGAN,LSUN,2,64,0,3773.715,38.437,13.425,6856
17,PointNet,ShapeNet,2,64,0,245.88,DCGAN,LSUN,2,64,1,3225.754,29.084,10.126,6724
18,PointNet,ShapeNet,2,64,1,241.526,DCGAN,LSUN,2,64,0,3781.408,37.363,12.418,6208
19,PointNet,ShapeNet,2,64,1,249.524,DCGAN,LSUN,2,64,1,3309.072,27.443,7.876,6106
20,PointNet,ShapeNet,2,64,0,271.15,DCGAN,LSUN,2,128,0,6689.861,47.527,19.637,7082
21,PointNet,ShapeNet,2,64,0,266.956,DCGAN,LSUN,2,128,1,5827.813,31.29,11.742,6600
22,PointNet,ShapeNet,2,64,1,272.212,DCGAN,LSUN,2,128,0,6714.547,44.726,17.147,6414
23,PointNet,ShapeNet,2,64,1,246.587,DCGAN,LSUN,2,128,1,6249.405,32.764,10.539,5856
24,PointNet,ShapeNet,2,128,0,262.304,DCGAN,LSUN,2,32,0,1810.639,26.037,9.901,9050
25,PointNet,ShapeNet,2,128,0,270.531,DCGAN,LSUN,2,32,1,1531.318,22.904,8.988,8942
26,PointNet,ShapeNet,2,128,1,262.395,DCGAN,LSUN,2,32,0,2101.76,29.278,8.127,7234
27,PointNet,ShapeNet,2,128,1,267.217,DCGAN,LSUN,2,32,1,1770.644,24.234,7.974,7332
28,PointNet,ShapeNet,2,128,0,261.976,DCGAN,LSUN,2,64,0,3215.683,30.815,11.988,8960
29,PointNet,ShapeNet,2,128,0,255.618,DCGAN,LSUN,2,64,1,2921.516,24.337,8.916,9522
30,PointNet,ShapeNet,2,128,1,253.927,DCGAN,LSUN,2,64,0,3905.705,37.221,11.948,7420
31,PointNet,ShapeNet,2,128,1,261.398,DCGAN,LSUN,2,64,1,3070.582,22.28,7.427,7288
