Unnamed: 0,model1,dataset1,gpu_num1,batchsize1,amp1,speed1,model2,dataset2,gpu_num2,batchsize2,amp2,speed2,gpu_util,gmem_util,gmem
7,ResNet18,CIFAR-10,1,32,1,1357.795,DCGAN,LSUN,1,64,1,2674.72,69.027,34.054,5260
8,ResNet18,CIFAR-10,1,32,0,1013.77,DCGAN,LSUN,1,128,0,3262.71,99.368,45.237,5506
9,ResNet18,CIFAR-10,1,32,0,1707.493,DCGAN,LSUN,1,128,1,4263.777,86.857,48.792,5090
10,ResNet18,CIFAR-10,1,32,1,1031.994,DCGAN,LSUN,1,128,0,3907.661,96.211,47.0,5448
11,ResNet18,CIFAR-10,1,32,1,1225.639,DCGAN,LSUN,1,128,1,4639.688,71.276,39.408,5736
12,ResNet18,CIFAR-10,1,64,0,2676.577,DCGAN,LSUN,1,32,0,1661.206,97.513,57.974,5140
13,ResNet18,CIFAR-10,1,64,0,3388.171,DCGAN,LSUN,1,32,1,1342.236,92.579,56.711,5412
14,ResNet18,CIFAR-10,1,64,1,2597.756,DCGAN,LSUN,1,32,0,1750.126,89.224,49.789,5068
15,ResNet18,CIFAR-10,1,64,1,2815.762,DCGAN,LSUN,1,32,1,1380.868,70.027,37.067,5340
16,ResNet18,CIFAR-10,1,64,0,2182.296,DCGAN,LSUN,1,64,0,2323.693,99.554,50.824,5226
17,ResNet18,CIFAR-10,1,64,0,3089.8,DCGAN,LSUN,1,64,1,2426.184,94.171,57.789,5012
18,ResNet18,CIFAR-10,1,64,1,2302.825,DCGAN,LSUN,1,64,0,3017.267,93.095,50.176,6208
19,ResNet18,CIFAR-10,1,64,1,2651.89,DCGAN,LSUN,1,64,1,2754.874,80.487,44.947,5994
20,ResNet18,CIFAR-10,1,64,0,1623.19,DCGAN,LSUN,1,128,0,3097.026,99.909,48.519,5778
21,ResNet18,CIFAR-10,1,64,0,2741.428,DCGAN,LSUN,1,128,1,3793.465,95.667,62.36,6064
22,ResNet18,CIFAR-10,1,64,1,1767.574,DCGAN,LSUN,1,128,0,3575.218,97.892,49.635,5706
23,ResNet18,CIFAR-10,1,64,1,2416.686,DCGAN,LSUN,1,128,1,4332.584,83.122,49.973,5620
24,ResNet18,CIFAR-10,1,128,0,3403.316,DCGAN,LSUN,1,32,0,1249.426,99.447,57.816,5552
25,ResNet18,CIFAR-10,1,128,0,4226.488,DCGAN,LSUN,1,32,1,1189.016,97.053,65.96,7134
26,ResNet18,CIFAR-10,1,128,1,3918.708,DCGAN,LSUN,1,32,0,1748.144,92.149,51.541,6516
